 2019-10-24 18:48:35,983 [P22880/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.4.1 application starting on LAPTOP-OD9NLUOJ
 2019-10-24 18:48:36,099 [P22880/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2019-10-24 18:48:36,123 [P22880/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 20ms)
 2019-10-24 18:48:36,307 [P22880/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2019-10-24 18:48:37,099 [P22880/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 794ms)
 2019-10-24 18:48:37,127 [P22880/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2019-10-24 18:48:37,135 [P22880/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 7ms)
 2019-10-24 18:48:37,139 [P22880/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2019-10-24 18:48:37,147 [P22880/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 11ms)
 2019-10-24 18:48:37,179 [P22880/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2019-10-24 18:48:37,203 [P22880/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 29ms)
 2019-10-24 18:48:37,203 [P22880/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2019-10-24 18:48:37,267 [P22880/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 63ms)
 2019-10-24 18:48:37,539 [P22880/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2019-10-24 18:48:37,567 [P22880/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 29ms)
